Japan, Life tables (period 1x10), Females	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1947-1949        0      0.06757  0.06456  0.31  100000    6456   95539  5729168  57.29
1947-1949        1      0.02286  0.02260  0.50   93544    2115   92487  5633630  60.22
1947-1949        2      0.01272  0.01264  0.50   91430    1155   90852  5541143  60.61
1947-1949        3      0.00861  0.00857  0.50   90275     774   89888  5450291  60.37
1947-1949        4      0.00561  0.00560  0.50   89501     501   89250  5360403  59.89
1947-1949        5      0.00383  0.00383  0.50   89000     340   88830  5271153  59.23
1947-1949        6      0.00288  0.00288  0.50   88659     255   88532  5182323  58.45
1947-1949        7      0.00226  0.00226  0.50   88404     200   88304  5093791  57.62
1947-1949        8      0.00186  0.00186  0.50   88204     164   88122  5005487  56.75
1947-1949        9      0.00164  0.00164  0.50   88040     144   87968  4917365  55.85
1947-1949       10      0.00153  0.00153  0.50   87896     134   87829  4829396  54.94
1947-1949       11      0.00147  0.00147  0.50   87762     129   87698  4741567  54.03
1947-1949       12      0.00153  0.00153  0.50   87633     134   87566  4653870  53.11
1947-1949       13      0.00164  0.00164  0.50   87499     143   87427  4566304  52.19
1947-1949       14      0.00196  0.00196  0.50   87355     171   87270  4478877  51.27
1947-1949       15      0.00255  0.00255  0.50   87184     222   87073  4391607  50.37
1947-1949       16      0.00306  0.00306  0.50   86962     266   86829  4304534  49.50
1947-1949       17      0.00373  0.00372  0.50   86696     323   86534  4217705  48.65
1947-1949       18      0.00432  0.00431  0.50   86373     372   86187  4131171  47.83
1947-1949       19      0.00518  0.00517  0.50   86001     444   85778  4044984  47.03
1947-1949       20      0.00587  0.00585  0.50   85556     501   85306  3959206  46.28
1947-1949       21      0.00649  0.00647  0.50   85056     550   84781  3873900  45.55
1947-1949       22      0.00671  0.00668  0.50   84506     565   84223  3789119  44.84
1947-1949       23      0.00693  0.00691  0.50   83941     580   83651  3704896  44.14
1947-1949       24      0.00704  0.00702  0.50   83361     585   83068  3621245  43.44
1947-1949       25      0.00696  0.00694  0.50   82776     574   82489  3538177  42.74
1947-1949       26      0.00676  0.00674  0.50   82201     554   81924  3455688  42.04
1947-1949       27      0.00663  0.00661  0.50   81648     539   81378  3373764  41.32
1947-1949       28      0.00662  0.00660  0.50   81108     535   80840  3292386  40.59
1947-1949       29      0.00638  0.00636  0.50   80573     513   80316  3211545  39.86
1947-1949       30      0.00643  0.00641  0.50   80060     514   79803  3131229  39.11
1947-1949       31      0.00628  0.00626  0.50   79546     498   79297  3051426  38.36
1947-1949       32      0.00631  0.00629  0.50   79048     497   78799  2972129  37.60
1947-1949       33      0.00625  0.00623  0.50   78551     490   78306  2893330  36.83
1947-1949       34      0.00626  0.00624  0.50   78061     487   77817  2815024  36.06
1947-1949       35      0.00621  0.00619  0.50   77574     480   77334  2737206  35.29
