Poland, Life tables (period 1x5), Males	Last modified: 13 Apr 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1958-1959        0      0.08315  0.07858  0.30  100000    7858   94493  6280456  62.80
1958-1959        1      0.00511  0.00510  0.50   92142     470   91908  6185963  67.13
1958-1959        2      0.00200  0.00200  0.50   91673     183   91581  6094055  66.48
1958-1959        3      0.00146  0.00145  0.50   91489     133   91423  6002474  65.61
1958-1959        4      0.00108  0.00108  0.50   91356      98   91307  5911051  64.70
1958-1959        5      0.00092  0.00092  0.50   91258      84   91216  5819744  63.77
1958-1959        6      0.00082  0.00082  0.50   91174      75   91136  5728528  62.83
1958-1959        7      0.00081  0.00081  0.50   91099      74   91062  5637392  61.88
1958-1959        8      0.00072  0.00072  0.50   91025      65   90993  5546329  60.93
1958-1959        9      0.00064  0.00064  0.50   90960      58   90931  5455337  59.98
1958-1959       10      0.00066  0.00066  0.50   90902      60   90872  5364406  59.01
1958-1959       11      0.00066  0.00066  0.50   90842      60   90813  5273533  58.05
1958-1959       12      0.00063  0.00063  0.50   90783      57   90754  5182721  57.09
1958-1959       13      0.00068  0.00068  0.50   90726      61   90695  5091967  56.12
1958-1959       14      0.00082  0.00082  0.50   90664      74   90627  5001272  55.16
1958-1959       15      0.00087  0.00087  0.50   90590      79   90551  4910644  54.21
1958-1959       16      0.00103  0.00103  0.50   90511      93   90465  4820094  53.25
1958-1959       17      0.00128  0.00128  0.50   90418     115   90361  4729629  52.31
1958-1959       18      0.00141  0.00141  0.50   90303     127   90239  4639268  51.37
1958-1959       19      0.00182  0.00181  0.50   90175     164   90094  4549029  50.45
1958-1959       20      0.00201  0.00201  0.50   90012     181   89921  4458935  49.54
1958-1959       21      0.00207  0.00207  0.50   89831     186   89738  4369014  48.64
1958-1959       22      0.00199  0.00198  0.50   89645     178   89556  4279276  47.74
1958-1959       23      0.00194  0.00194  0.50   89467     173   89381  4189720  46.83
1958-1959       24      0.00212  0.00212  0.50   89294     189   89199  4100339  45.92
1958-1959       25      0.00215  0.00215  0.50   89104     192   89009  4011140  45.02
1958-1959       26      0.00211  0.00211  0.50   88913     187   88819  3922131  44.11
1958-1959       27      0.00209  0.00208  0.50   88725     185   88633  3833312  43.20
1958-1959       28      0.00218  0.00218  0.50   88540     193   88444  3744679  42.29
1958-1959       29      0.00237  0.00237  0.50   88348     209   88243  3656235  41.38
1958-1959       30      0.00246  0.00246  0.50   88138     217   88030  3567992  40.48
1958-1959       31      0.00250  0.00250  0.50   87921     220   87812  3479963  39.58
1958-1959       32      0.00252  0.00251  0.50   87702     220   87592  3392151  38.68
1958-1959       33      0.00265  0.00265  0.50   87481     232   87365  3304559  37.77
1958-1959       34      0.00275  0.00274  0.50   87250     239   87130  3217194  36.87
1958-1959       35      0.00281  0.00280  0.50   87010     244   86888  3130064  35.97
1958-1959       36      0.00285  0.00285  0.50   86766     247   86643  3043176  35.07
1958-1959       37      0.00299  0.00298  0.50   86520     258   86390  2956533  34.17
1958-1959       38      0.00339  0.00338  0.50   86261     292   86116  2870142  33.27
1958-1959       39      0.00349  0.00348  0.50   85970     299   85820  2784027  32.38
1958-1959       40      0.00363  0.00363  0.50   85670     311   85515  2698206  31.50
1958-1959       41      0.00370  0.00369  0.50   85360     315   85202  2612692  30.61
1958-1959       42      0.00422  0.00422  0.50   85044     359   84865  2527490  29.72
1958-1959       43      0.00445  0.00444  0.50   84686     376   84498  2442624  28.84
1958-1959       44      0.00500  0.00499  0.50   84310     421   84100  2358126  27.97
1958-1959       45      0.00506  0.00505  0.50   83890     424   83678  2274026  27.11
1958-1959       46      0.00570  0.00568  0.50   83466     474   83229  2190349  26.24
1958-1959       47      0.00619  0.00617  0.50   82991     512   82736  2107120  25.39
1958-1959       48      0.00669  0.00667  0.50   82480     550   82205  2024385  24.54
1958-1959       49      0.00734  0.00732  0.50   81930     599   81630  1942180  23.71
1958-1959       50      0.00822  0.00819  0.50   81330     666   80997  1860550  22.88
1958-1959       51      0.00899  0.00895  0.50   80664     722   80303  1779553  22.06
1958-1959       52      0.01033  0.01028  0.50   79942     822   79531  1699250  21.26
1958-1959       53      0.01095  0.01089  0.50   79120     861   78690  1619719  20.47
1958-1959       54      0.01204  0.01197  0.50   78259     937   77791  1541029  19.69
1958-1959       55      0.01297  0.01288  0.50   77322     996   76824  1463238  18.92
1958-1959       56      0.01517  0.01505  0.50   76326    1149   75752  1386414  18.16
1958-1959       57      0.01655  0.01641  0.50   75177    1234   74560  1310663  17.43
1958-1959       58      0.01842  0.01825  0.50   73943    1350   73269  1236103  16.72
1958-1959       59      0.02035  0.02014  0.50   72594    1462   71863  1162834  16.02
1958-1959       60      0.02303  0.02276  0.50   71131    1619   70322  1090971  15.34
1958-1959       61      0.02505  0.02474  0.50   69512    1720   68652  1020650  14.68
1958-1959       62      0.02741  0.02704  0.50   67792    1833   66876   951997  14.04
1958-1959       63      0.02886  0.02845  0.50   65959    1877   65021   885122  13.42
1958-1959       64      0.03145  0.03097  0.50   64082    1984   63090   820101  12.80
1958-1959       65      0.03451  0.03393  0.50   62098    2107   61045   757011  12.19
1958-1959       66      0.03730  0.03662  0.50   59991    2197   58893   695966  11.60
1958-1959       67      0.04259  0.04170  0.50   57795    2410   56590   637073  11.02
1958-1959       68      0.04689  0.04581  0.50   55385    2537   54116   580484  10.48
1958-1959       69      0.04982  0.04861  0.50   52847    2569   51563   526368   9.96
1958-1959       70      0.05337  0.05198  0.50   50278    2614   48972   474805   9.44
1958-1959       71      0.06040  0.05863  0.50   47665    2795   46268   425833   8.93
1958-1959       72      0.06672  0.06457  0.50   44870    2897   43422   379566   8.46
1958-1959       73      0.07080  0.06838  0.50   41973    2870   40538   336144   8.01
1958-1959       74      0.07616  0.07336  0.50   39103    2869   37669   295606   7.56
1958-1959       75      0.08513  0.08165  0.50   36234    2959   34755   257937   7.12
1958-1959       76      0.09486  0.09056  0.50   33276    3013   31769   223182   6.71
1958-1959       77      0.10014  0.09537  0.50   30262    2886   28819   191413   6.33
1958-1959       78      0.11740  0.11089  0.50   27376    3036   25858   162594   5.94
1958-1959       79      0.11811  0.11153  0.50   24340    2715   22983   136736   5.62
1958-1959       80      0.13479  0.12628  0.50   21626    2731   20260   113753   5.26
1958-1959       81      0.14449  0.13476  0.50   18895    2546   17622    93492   4.95
1958-1959       82      0.15749  0.14600  0.50   16349    2387   15155    75870   4.64
1958-1959       83      0.17673  0.16238  0.50   13962    2267   12828    60715   4.35
1958-1959       84      0.18697  0.17098  0.50   11695    2000   10695    47887   4.09
1958-1959       85      0.21741  0.19609  0.50    9695    1901    8745    37192   3.84
1958-1959       86      0.21591  0.19487  0.50    7794    1519    7035    28448   3.65
1958-1959       87      0.24178  0.21570  0.50    6275    1354    5598    21413   3.41
1958-1959       88      0.25835  0.22879  0.50    4922    1126    4359    15815   3.21
1958-1959       89      0.29601  0.25785  0.50    3796     979    3306    11456   3.02
1958-1959       90      0.28332  0.24817  0.50    2817     699    2467     8150   2.89
1958-1959       91      0.33494  0.28689  0.50    2118     608    1814     5682   2.68
1958-1959       92      0.35715  0.30303  0.50    1510     458    1281     3868   2.56
1958-1959       93      0.36998  0.31222  0.50    1053     329     888     2587   2.46
1958-1959       94      0.37196  0.31363  0.50     724     227     610     1699   2.35
1958-1959       95      0.41845  0.34605  0.50     497     172     411     1088   2.19
1958-1959       96      0.44353  0.36303  0.50     325     118     266      677   2.08
1958-1959       97      0.46891  0.37985  0.50     207      79     168      411   1.99
1958-1959       98      0.49445  0.39644  0.50     128      51     103      244   1.90
1958-1959       99      0.52001  0.41271  0.50      77      32      61      141   1.82
1958-1959      100      0.54548  0.42859  0.50      45      20      36       79   1.74
1958-1959      101      0.57071  0.44401  0.50      26      12      20       44   1.67
1958-1959      102      0.59557  0.45891  0.50      14       7      11       23   1.61
