Luxembourg, Life tables (period 1x5), Females	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1960-1964        0      0.02397  0.02349  0.14  100000    2349   97979  7226940  72.27
1960-1964        1      0.00310  0.00310  0.50   97651     303   97500  7128961  73.00
1960-1964        2      0.00140  0.00139  0.50   97348     136   97281  7031461  72.23
1960-1964        3      0.00083  0.00083  0.50   97213      80   97173  6934180  71.33
1960-1964        4      0.00075  0.00075  0.50   97132      73   97096  6837008  70.39
1960-1964        5      0.00059  0.00059  0.50   97060      57   97031  6739912  69.44
1960-1964        6      0.00068  0.00068  0.50   97002      66   96969  6642881  68.48
1960-1964        7      0.00026  0.00026  0.50   96936      25   96924  6545911  67.53
1960-1964        8      0.00044  0.00044  0.50   96911      43   96890  6448987  66.55
1960-1964        9      0.00009  0.00009  0.50   96869       9   96864  6352097  65.57
1960-1964       10      0.00000  0.00000  0.50   96860       0   96860  6255233  64.58
1960-1964       11      0.00057  0.00057  0.50   96860      55   96832  6158373  63.58
1960-1964       12      0.00019  0.00019  0.50   96805      19   96795  6061540  62.62
1960-1964       13      0.00039  0.00039  0.50   96786      38   96767  5964745  61.63
1960-1964       14      0.00020  0.00020  0.50   96748      19   96738  5867978  60.65
1960-1964       15      0.00030  0.00030  0.50   96729      29   96714  5771240  59.66
1960-1964       16      0.00030  0.00030  0.50   96700      29   96685  5674526  58.68
1960-1964       17      0.00060  0.00060  0.50   96671      58   96642  5577841  57.70
1960-1964       18      0.00010  0.00010  0.50   96613      10   96608  5481199  56.73
1960-1964       19      0.00030  0.00030  0.50   96603      29   96589  5384592  55.74
1960-1964       20      0.00049  0.00049  0.50   96574      47   96551  5288003  54.76
1960-1964       21      0.00067  0.00067  0.50   96527      65   96495  5191452  53.78
1960-1964       22      0.00047  0.00047  0.50   96463      46   96440  5094957  52.82
1960-1964       23      0.00067  0.00067  0.50   96417      64   96385  4998517  51.84
1960-1964       24      0.00037  0.00037  0.50   96353      36   96335  4902132  50.88
1960-1964       25      0.00056  0.00056  0.50   96317      54   96290  4805797  49.90
1960-1964       26      0.00056  0.00056  0.50   96263      54   96236  4709507  48.92
1960-1964       27      0.00130  0.00130  0.50   96209     125   96147  4613271  47.95
1960-1964       28      0.00045  0.00045  0.50   96085      44   96063  4517124  47.01
1960-1964       29      0.00123  0.00123  0.50   96041     118   95982  4421061  46.03
1960-1964       30      0.00120  0.00120  0.50   95923     115   95865  4325079  45.09
1960-1964       31      0.00075  0.00075  0.50   95808      72   95772  4229214  44.14
1960-1964       32      0.00115  0.00115  0.50   95736     110   95681  4133442  43.18
1960-1964       33      0.00098  0.00098  0.50   95626      93   95579  4037761  42.22
1960-1964       34      0.00091  0.00091  0.50   95533      87   95489  3942182  41.27
1960-1964       35      0.00150  0.00150  0.50   95446     143   95374  3846692  40.30
1960-1964       36      0.00092  0.00092  0.50   95303      88   95259  3751318  39.36
1960-1964       37      0.00212  0.00211  0.50   95215     201   95115  3656059  38.40
1960-1964       38      0.00188  0.00188  0.50   95014     179   94925  3560944  37.48
1960-1964       39      0.00207  0.00206  0.50   94835     196   94737  3466020  36.55
1960-1964       40      0.00242  0.00242  0.50   94639     229   94525  3371282  35.62
1960-1964       41      0.00283  0.00283  0.50   94411     267   94277  3276757  34.71
1960-1964       42      0.00157  0.00157  0.50   94144     147   94070  3182480  33.80
1960-1964       43      0.00270  0.00269  0.50   93996     253   93870  3088410  32.86
1960-1964       44      0.00359  0.00359  0.50   93743     336   93575  2994540  31.94
1960-1964       45      0.00398  0.00397  0.50   93407     371   93221  2900965  31.06
1960-1964       46      0.00406  0.00405  0.50   93036     377   92848  2807744  30.18
1960-1964       47      0.00366  0.00365  0.50   92659     338   92490  2714896  29.30
1960-1964       48      0.00354  0.00353  0.50   92321     326   92158  2622406  28.41
1960-1964       49      0.00419  0.00418  0.50   91996     385   91803  2530248  27.50
1960-1964       50      0.00495  0.00493  0.50   91611     452   91385  2438444  26.62
1960-1964       51      0.00512  0.00510  0.50   91159     465   90926  2347060  25.75
1960-1964       52      0.00553  0.00551  0.50   90694     500   90444  2256133  24.88
1960-1964       53      0.00666  0.00664  0.50   90194     599   89894  2165689  24.01
1960-1964       54      0.00615  0.00613  0.50   89595     549   89321  2075795  23.17
1960-1964       55      0.00695  0.00692  0.50   89046     616   88738  1986475  22.31
1960-1964       56      0.00688  0.00686  0.50   88429     607   88126  1897737  21.46
1960-1964       57      0.00925  0.00921  0.50   87823     809   87418  1809611  20.61
1960-1964       58      0.00959  0.00955  0.50   87014     831   86599  1722192  19.79
1960-1964       59      0.00958  0.00954  0.50   86183     822   85772  1635594  18.98
1960-1964       60      0.01135  0.01128  0.50   85361     963   84880  1549821  18.16
1960-1964       61      0.01342  0.01333  0.50   84398    1125   83835  1464942  17.36
1960-1964       62      0.01574  0.01562  0.50   83273    1300   82623  1381106  16.59
1960-1964       63      0.01436  0.01426  0.50   81972    1169   81388  1298484  15.84
1960-1964       64      0.01793  0.01777  0.50   80804    1436   80086  1217096  15.06
1960-1964       65      0.01991  0.01971  0.50   79368    1565   78586  1137010  14.33
1960-1964       66      0.02136  0.02113  0.50   77803    1644   76981  1058424  13.60
1960-1964       67      0.02805  0.02766  0.50   76159    2106   75106   981443  12.89
1960-1964       68      0.02786  0.02748  0.50   74052    2035   73035   906338  12.24
1960-1964       69      0.03105  0.03058  0.50   72017    2202   70916   833303  11.57
1960-1964       70      0.03480  0.03421  0.50   69815    2388   68621   762387  10.92
1960-1964       71      0.04529  0.04429  0.50   67427    2986   65934   693765  10.29
1960-1964       72      0.03984  0.03906  0.50   64441    2517   63183   627831   9.74
1960-1964       73      0.04899  0.04782  0.50   61924    2961   60443   564649   9.12
1960-1964       74      0.06066  0.05887  0.50   58963    3471   57227   504206   8.55
1960-1964       75      0.06272  0.06082  0.50   55491    3375   53804   446979   8.05
1960-1964       76      0.07368  0.07106  0.50   52117    3704   50265   393174   7.54
