Ireland, Life tables (period 1x10), Males	Last modified: 12 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1950-1959        0      0.04414  0.04258  0.17  100000    4258   96475  6629516  66.30
1950-1959        1      0.00340  0.00340  0.50   95742     325   95579  6533041  68.24
1950-1959        2      0.00199  0.00199  0.50   95417     189   95322  6437462  67.47
1950-1959        3      0.00133  0.00133  0.50   95227     127   95164  6342139  66.60
1950-1959        4      0.00109  0.00109  0.50   95100     103   95049  6246976  65.69
1950-1959        5      0.00081  0.00080  0.50   94997      76   94959  6151927  64.76
1950-1959        6      0.00063  0.00063  0.50   94921      60   94891  6056968  63.81
1950-1959        7      0.00072  0.00072  0.50   94861      68   94827  5962078  62.85
1950-1959        8      0.00063  0.00063  0.50   94793      59   94763  5867251  61.90
1950-1959        9      0.00052  0.00052  0.50   94733      49   94709  5772488  60.93
1950-1959       10      0.00054  0.00054  0.50   94684      51   94659  5677779  59.97
1950-1959       11      0.00049  0.00049  0.50   94633      46   94610  5583121  59.00
1950-1959       12      0.00052  0.00052  0.50   94587      49   94563  5488510  58.03
1950-1959       13      0.00050  0.00050  0.50   94538      47   94514  5393948  57.06
1950-1959       14      0.00057  0.00057  0.50   94491      54   94464  5299433  56.08
1950-1959       15      0.00070  0.00070  0.50   94437      66   94404  5204970  55.12
1950-1959       16      0.00075  0.00075  0.50   94371      71   94335  5110566  54.15
1950-1959       17      0.00097  0.00097  0.50   94300      91   94254  5016231  53.19
1950-1959       18      0.00110  0.00110  0.50   94208     103   94157  4921977  52.25
1950-1959       19      0.00125  0.00125  0.50   94105     117   94047  4827820  51.30
1950-1959       20      0.00122  0.00122  0.50   93988     115   93931  4733773  50.37
1950-1959       21      0.00150  0.00149  0.50   93873     140   93803  4639842  49.43
1950-1959       22      0.00131  0.00131  0.50   93733     123   93672  4546039  48.50
1950-1959       23      0.00149  0.00149  0.50   93610     139   93540  4452368  47.56
1950-1959       24      0.00157  0.00157  0.50   93471     147   93397  4358827  46.63
1950-1959       25      0.00153  0.00152  0.50   93324     142   93253  4265430  45.71
1950-1959       26      0.00151  0.00151  0.50   93182     141   93112  4172177  44.77
1950-1959       27      0.00180  0.00180  0.50   93041     168   92958  4079065  43.84
1950-1959       28      0.00179  0.00179  0.50   92874     166   92790  3986107  42.92
