Italy , Life tables (cohort 5x10), Males	Last modified: 09 May 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1872-1879        0      0.26283  0.22194  0.30  100000   22194   84444  3685868  36.86
1872-1879      1-4      0.06073  0.21047  1.46   77806   16376  269649  3601424  46.29
1872-1879      5-9      0.01131  0.05459  1.79   61430    3353  296399  3331775  54.24
1872-1879     10-14     0.00460  0.02273  2.51   58077    1320  287101  3035376  52.26
1872-1879     15-19     0.00522  0.02579  2.65   56757    1464  280350  2748275  48.42
1872-1879     20-24     0.00748  0.03672  2.51   55293    2031  271414  2467925  44.63
1872-1879     25-29     0.00648  0.03189  2.43   53262    1698  261947  2196511  41.24
1872-1879     30-34     0.00656  0.03229  2.50   51564    1665  253660  1934564  37.52
1872-1879     35-39     0.00811  0.03983  2.75   49899    1987  245030  1680904  33.69
1872-1879     40-44     0.01176  0.05710  2.46   47912    2736  232622  1435874  29.97
1872-1879     45-49     0.01052  0.05123  2.42   45176    2315  219919  1203251  26.63
1872-1879     50-54     0.01266  0.06143  2.58   42862    2633  207935   983332  22.94
1872-1879     55-59     0.01726  0.08291  2.62   40228    3335  193220   775397  19.27
1872-1879     60-64     0.02614  0.12312  2.64   36893    4542  173755   582177  15.78
1872-1879     65-69     0.04017  0.18299  2.57   32351    5920  147356   408422  12.62
1872-1879     70-74     0.05923  0.25851  2.54   26431    6833  115352   261066   9.88
1872-1879     75-79     0.09472  0.38338  2.52   19598    7514   79324   145714   7.44
1872-1879     80-84     0.14693  0.53073  2.38   12085    6414   43651    66389   5.49
1872-1879     85-89     0.22291  0.68817  2.22    5671    3903   17508    22739   4.01
1872-1879     90-94     0.32040  0.81575  1.99    1768    1443    4502     5231   2.96
1872-1879     95-99     0.43480  0.90352  1.77     326     294     677      729   2.24
1872-1879    100-104    0.60214  0.96063  1.46      31      30      50       52   1.65
1872-1879    105-109    0.72271  1.00000  1.38       1       1       2        2   1.38
1872-1879    110+             .        .    .       0       0       0        0      .
1880-1889        0      0.24697  0.21053  0.30  100000   21053   85244  3799439  37.99
1880-1889      1-4      0.05559  0.19465  1.44   78947   15367  276456  3714195  47.05
1880-1889      5-9      0.00895  0.04341  1.61   63580    2760  308556  3437739  54.07
1880-1889     10-14     0.00361  0.01789  2.63   60820    1088  301519  3129183  51.45
1880-1889     15-19     0.00471  0.02330  2.66   59732    1392  295402  2827665  47.34
1880-1889     20-24     0.00670  0.03294  2.52   58340    1922  286939  2532263  43.41
1880-1889     25-29     0.01247  0.06074  2.88   56418    3427  274820  2245324  39.80
1880-1889     30-34     0.01482  0.07130  2.32   52991    3778  254848  1970504  37.19
1880-1889     35-39     0.00999  0.04861  2.24   49213    2392  239471  1715656  34.86
1880-1889     40-44     0.00724  0.03558  2.56   46821    1666  230031  1476185  31.53
1880-1889     45-49     0.00892  0.04364  2.57   45155    1971  220982  1246153  27.60
1880-1889     50-54     0.01201  0.05839  2.63   43184    2522  209946  1025171  23.74
1880-1889     55-59     0.01716  0.08239  2.57   40663    3350  195188   815225  20.05
1880-1889     60-64     0.02338  0.11062  2.57   37312    4127  176528   620038  16.62
1880-1889     65-69     0.03397  0.15716  2.62   33185    5215  153517   443509  13.36
1880-1889     70-74     0.05426  0.23984  2.58   27970    6708  123625   289992  10.37
1880-1889     75-79     0.08633  0.35538  2.51   21261    7556   87527   166367   7.82
1880-1889     80-84     0.13788  0.50690  2.39   13706    6947   50388    78839   5.75
1880-1889     85-89     0.20892  0.66258  2.24    6758    4478   21433    28452   4.21
1880-1889     90-94     0.30724  0.80125  2.01    2280    1827    5947     7019   3.08
1880-1889     95-99     0.41169  0.88863  1.80     453     403     978     1072   2.36
1880-1889    100-104    0.53821  0.94265  1.55      50      48      88       93   1.85
1880-1889    105-109    0.60199  0.95276  1.41       3       3       5        5   1.68
1880-1889    110+       0.48649  1.00000  2.06       0       0       0        0   2.06
1890-1899        0      0.21576  0.18742  0.30  100000   18742   86864  3957600  39.58
1890-1899      1-4      0.04176  0.15096  1.45   81258   12267  293776  3870736  47.64
1890-1899      5-9      0.00619  0.03034  1.68   68991    2093  338005  3576960  51.85
1890-1899     10-14     0.00288  0.01429  2.55   66897     956  332143  3238955  48.42
1890-1899     15-19     0.00943  0.04649  3.52   65942    3066  325169  2906811  44.08
1890-1899     20-24     0.02741  0.12796  2.40   62876    8046  293494  2581642  41.06
1890-1899     25-29     0.01367  0.06555  1.87   54830    3594  262893  2288148  41.73
1890-1899     30-34     0.00530  0.02616  2.48   51236    1340  252803  2025255  39.53
1890-1899     35-39     0.00571  0.02814  2.54   49895    1404  246016  1772452  35.52
1890-1899     40-44     0.00718  0.03530  2.63   48491    1712  238407  1526436  31.48
1890-1899     45-49     0.00990  0.04830  2.53   46779    2260  228316  1288030  27.53
1890-1899     50-54     0.01177  0.05720  2.53   44520    2546  216306  1059713  23.80
1890-1899     55-59     0.01517  0.07321  2.63   41973    3073  202594   843408  20.09
1890-1899     60-64     0.02325  0.11020  2.63   38900    4287  184360   640814  16.47
1890-1899     65-69     0.03628  0.16686  2.60   34614    5776  159202   456454  13.19
1890-1899     70-74     0.05710  0.25051  2.55   28838    7224  126524   297252  10.31
1890-1899     75-79     0.08778  0.35989  2.50   21614    7779   88610   170728   7.90
1890-1899     80-84     0.13513  0.49984  2.40   13835    6915   51174    82118   5.94
1890-1899     85-89     0.19650  0.63695  2.24    6920    4408   22430    30943   4.47
1890-1899     90-94     0.27419  0.76111  2.08    2512    1912    6973     8513   3.39
1890-1899     95-99     0.37233  0.86206  1.89     600     517    1390     1540   2.57
1890-1899    100-104    0.54356  0.94157  1.53      83      78     143      150   1.81
1890-1899    105-109    0.72100  0.97872  1.28       5       5       7        7   1.38
1890-1899    110+       1.01283  1.00000  0.99       0       0       0        0   0.99
1900-1909        0      0.19563  0.17204  0.30  100000   17204   87942  4724173  47.24
1900-1909      1-4      0.03297  0.12106  1.29   82796   10023  303976  4636232  56.00
1900-1909      5-9      0.00520  0.02563  2.16   72773    1865  358559  4332256  59.53
1900-1909     10-14     0.00360  0.01782  2.47   70908    1264  351341  3973696  56.04
1900-1909     15-19     0.00536  0.02647  2.62   69644    1843  343835  3622356  52.01
1900-1909     20-24     0.00507  0.02502  2.39   67801    1696  334573  3278520  48.36
1900-1909     25-29     0.00432  0.02135  2.45   66104    1412  326923  2943947  44.54
1900-1909     30-34     0.00522  0.02577  2.69   64692    1667  319617  2617024  40.45
1900-1909     35-39     0.00676  0.03321  2.46   63026    2093  309815  2297407  36.45
1900-1909     40-44     0.00644  0.03166  2.43   60933    1929  299705  1987592  32.62
1900-1909     45-49     0.00655  0.03224  2.60   59004    1902  290447  1687887  28.61
1900-1909     50-54     0.00960  0.04695  2.66   57102    2681  279233  1397441  24.47
1900-1909     55-59     0.01506  0.07275  2.65   54421    3959  262809  1118208  20.55
1900-1909     60-64     0.02347  0.11113  2.62   50462    5608  238945   855398  16.95
1900-1909     65-69     0.03545  0.16337  2.60   44854    7328  206696   616454  13.74
1900-1909     70-74     0.05350  0.23674  2.57   37526    8884  166070   409758  10.92
1900-1909     75-79     0.08045  0.33481  2.50   28642    9590  119198   243688   8.51
1900-1909     80-84     0.11766  0.45088  2.41   19052    8590   73011   124490   6.53
1900-1909     85-89     0.17010  0.58383  2.31   10462    6108   35908    51478   4.92
1900-1909     90-94     0.25445  0.73620  2.14    4354    3205   12598    15570   3.58
1900-1909     95-99     0.37066  0.86055  1.89    1149     988    2667     2973   2.59
1900-1909    100-104    0.51714  0.94127  1.62     160     151     292      306   1.91
1900-1909    105-109    0.64718  0.96696  1.37       9       9      14       14   1.52
1900-1909    110+       1.11245  1.00000  0.90       0       0       0        0   0.90
1910-1919        0      0.17233  0.15376  0.30  100000   15376   89223  4971570  49.72
1910-1919      1-4      0.03224  0.11844  1.24   84624   10023  310880  4882347  57.69
1910-1919      5-9      0.00531  0.02615  1.96   74601    1951  367072  4571467  61.28
1910-1919     10-14     0.00216  0.01072  2.44   72650     779  361262  4204395  57.87
1910-1919     15-19     0.00315  0.01561  2.72   71872    1122  356799  3843132  53.47
1910-1919     20-24     0.00639  0.03150  2.89   70749    2229  349053  3486333  49.28
1910-1919     25-29     0.00847  0.04146  2.41   68521    2841  335250  3137280  45.79
1910-1919     30-34     0.00578  0.02841  2.13   65680    1866  323044  2802030  42.66
1910-1919     35-39     0.00299  0.01485  2.45   63814     948  316653  2478985  38.85
1910-1919     40-44     0.00360  0.01783  2.63   62866    1121  311675  2162332  34.40
1910-1919     45-49     0.00554  0.02736  2.68   61746    1690  304804  1850657  29.97
1910-1919     50-54     0.00894  0.04379  2.67   60056    2630  294157  1545853  25.74
1910-1919     55-59     0.01406  0.06805  2.65   57426    3908  277959  1251696  21.80
1910-1919     60-64     0.02149  0.10224  2.63   53518    5472  254613   973736  18.19
1910-1919     65-69     0.03165  0.14703  2.58   48046    7064  223169   719124  14.97
1910-1919     70-74     0.04532  0.20399  2.55   40982    8360  184470   495955  12.10
1910-1919     75-79     0.06470  0.27885  2.52   32622    9097  140588   311485   9.55
1910-1919     80-84     0.09733  0.39030  2.46   23526    9182   94341   170897   7.26
1910-1919     85-89     0.15041  0.53861  2.37   14344    7726   51364    76556   5.34
1910-1919     90-94     0.23314  0.70476  2.19    6618    4664   20006    25192   3.81
1910-1919     95-99     0.35818  0.85316  1.93    1954    1667    4654     5186   2.65
1910-1919    100-104    0.53161  0.94573  1.59     287     271     510      532   1.86
1910-1919    105-109    0.70194  0.97110  1.28      16      15      22       22   1.41
1910-1919    110+       0.96423  1.00000  1.04       0       0       0        0   1.04
1920-1929        0      0.14508  0.13169  0.30  100000   13169   90770  5587413  55.87
1920-1929      1-4      0.02036  0.07694  1.13   86831    6681  328156  5496643  63.30
1920-1929      5-9      0.00279  0.01383  2.10   80151    1108  397542  5168487  64.48
1920-1929     10-14     0.00180  0.00896  2.55   79042     708  393478  4770945  60.36
1920-1929     15-19     0.00516  0.02557  3.19   78334    2003  388044  4377466  55.88
1920-1929     20-24     0.00841  0.04103  2.07   76331    3132  372494  3989423  52.26
