England and Wales, Civilian National Population, Life tables (cohort 1x10), Males	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1849        0      0.19084  0.16833  0.30  100000   16833   88202  3972481  39.72
1841-1849        1      0.06795  0.06560  0.47   83167    5456   80297  3884279  46.70
1841-1849        2      0.03682  0.03615  0.50   77711    2809   76300  3803982  48.95
1841-1849        3      0.02461  0.02431  0.50   74902    1821   73985  3727682  49.77
1841-1849        4      0.01865  0.01848  0.50   73081    1350   72403  3653698  50.00
1841-1849        5      0.01451  0.01441  0.50   71731    1033   71214  3581294  49.93
1841-1849        6      0.01115  0.01109  0.50   70697     784   70302  3510080  49.65
1841-1849        7      0.00834  0.00830  0.50   69913     580   69621  3439778  49.20
1841-1849        8      0.00647  0.00645  0.50   69333     447   69109  3370157  48.61
1841-1849        9      0.00544  0.00543  0.50   68886     374   68699  3301048  47.92
1841-1849       10      0.00500  0.00499  0.50   68512     342   68342  3232349  47.18
1841-1849       11      0.00474  0.00472  0.50   68170     322   68010  3164008  46.41
1841-1849       12      0.00467  0.00466  0.50   67848     316   67691  3095998  45.63
1841-1849       13      0.00478  0.00477  0.50   67532     322   67372  3028307  44.84
1841-1849       14      0.00505  0.00503  0.50   67210     338   67042  2960936  44.06
1841-1849       15      0.00547  0.00546  0.51   66872     365   66691  2893894  43.28
1841-1849       16      0.00596  0.00594  0.51   66507     395   66312  2827203  42.51
1841-1849       17      0.00643  0.00641  0.50   66112     424   65902  2760891  41.76
1841-1849       18      0.00689  0.00687  0.51   65688     451   65465  2694989  41.03
1841-1849       19      0.00737  0.00734  0.51   65237     479   65000  2629524  40.31
1841-1849       20      0.00783  0.00780  0.50   64758     505   64505  2564523  39.60
1841-1849       21      0.00831  0.00828  0.50   64253     532   63987  2500018  38.91
1841-1849       22      0.00876  0.00873  0.50   63721     556   63443  2436031  38.23
1841-1849       23      0.00900  0.00896  0.50   63165     566   62881  2372588  37.56
1841-1849       24      0.00905  0.00901  0.50   62599     564   62316  2309708  36.90
1841-1849       25      0.00904  0.00900  0.50   62035     558   61754  2247392  36.23
1841-1849       26      0.00908  0.00904  0.50   61477     556   61197  2185638  35.55
1841-1849       27      0.00921  0.00917  0.50   60921     559   60640  2124441  34.87
1841-1849       28      0.00935  0.00931  0.50   60363     562   60080  2063801  34.19
1841-1849       29      0.00947  0.00942  0.50   59801     564   59517  2003721  33.51
1841-1849       30      0.00950  0.00946  0.50   59237     560   58955  1944204  32.82
1841-1849       31      0.00958  0.00954  0.50   58677     560   58396  1885249  32.13
1841-1849       32      0.00984  0.00980  0.50   58118     569   57832  1826853  31.43
1841-1849       33      0.01020  0.01015  0.50   57548     584   57255  1769021  30.74
1841-1849       34      0.01056  0.01050  0.50   56964     598   56664  1711766  30.05
1841-1849       35      0.01094  0.01088  0.50   56366     613   56061  1655102  29.36
1841-1849       36      0.01131  0.01125  0.50   55753     627   55440  1599042  28.68
1841-1849       37      0.01167  0.01160  0.50   55126     639   54807  1543602  28.00
1841-1849       38      0.01202  0.01194  0.50   54487     651   54162  1488795  27.32
1841-1849       39      0.01237  0.01230  0.50   53836     662   53506  1434633  26.65
1841-1849       40      0.01285  0.01276  0.50   53174     679   52837  1381127  25.97
1841-1849       41      0.01349  0.01340  0.50   52495     704   52147  1328290  25.30
1841-1849       42      0.01414  0.01405  0.50   51791     727   51430  1276143  24.64
1841-1849       43      0.01478  0.01467  0.50   51064     749   50693  1224713  23.98
1841-1849       44      0.01537  0.01526  0.50   50315     768   49933  1174021  23.33
1841-1849       45      0.01594  0.01581  0.50   49547     784   49159  1124087  22.69
1841-1849       46      0.01657  0.01643  0.50   48763     801   48366  1074928  22.04
1841-1849       47      0.01726  0.01711  0.50   47962     821   47555  1026562  21.40
1841-1849       48      0.01803  0.01787  0.50   47141     842   46724   979007  20.77
1841-1849       49      0.01877  0.01860  0.50   46299     861   45872   932282  20.14
1841-1849       50      0.01947  0.01928  0.50   45438     876   45004   886410  19.51
1841-1849       51      0.02030  0.02010  0.50   44562     896   44118   841406  18.88
1841-1849       52      0.02134  0.02112  0.50   43666     922   43209   797288  18.26
1841-1849       53      0.02259  0.02234  0.51   42744     955   42272   754078  17.64
1841-1849       54      0.02395  0.02367  0.50   41789     989   41299   711807  17.03
1841-1849       55      0.02536  0.02505  0.51   40800    1022   40295   670507  16.43
1841-1849       56      0.02695  0.02660  0.50   39778    1058   39255   630213  15.84
1841-1849       57      0.02868  0.02828  0.50   38720    1095   38178   590958  15.26
1841-1849       58      0.03045  0.02999  0.50   37625    1129   37066   552780  14.69
1841-1849       59      0.03202  0.03151  0.50   36497    1150   35926   515714  14.13
1841-1849       60      0.03379  0.03324  0.50   35347    1175   34765   479789  13.57
1841-1849       61      0.03528  0.03467  0.50   34172    1185   33584   445024  13.02
1841-1849       62      0.03782  0.03713  0.51   32987    1225   32381   411440  12.47
1841-1849       63      0.04033  0.03954  0.50   31762    1256   31140   379059  11.93
1841-1849       64      0.04319  0.04229  0.51   30506    1290   29868   347918  11.40
1841-1849       65      0.04762  0.04653  0.51   29216    1359   28546   318050  10.89
1841-1849       66      0.04745  0.04637  0.51   27857    1292   27218   289504  10.39
1841-1849       67      0.05065  0.04942  0.51   26565    1313   25916   262286   9.87
1841-1849       68      0.05717  0.05560  0.50   25253    1404   24557   236370   9.36
1841-1849       69      0.06426  0.06228  0.50   23849    1485   23111   211813   8.88
1841-1849       70      0.06985  0.06750  0.50   22364    1510   21614   188702   8.44
1841-1849       71      0.06850  0.06625  0.50   20854    1382   20167   167088   8.01
1841-1849       72      0.08477  0.08135  0.50   19472    1584   18687   146921   7.55
1841-1849       73      0.08933  0.08553  0.50   17888    1530   17128   128234   7.17
1841-1849       74      0.09740  0.09291  0.50   16358    1520   15603   111106   6.79
1841-1849       75      0.10402  0.09892  0.50   14838    1468   14111    95503   6.44
1841-1849       76      0.11193  0.10604  0.50   13371    1418   12667    81392   6.09
1841-1849       77      0.11753  0.11109  0.51   11953    1328   11297    68725   5.75
1841-1849       78      0.12866  0.12098  0.51   10625    1285    9990    57427   5.40
1841-1849       79      0.14122  0.13206  0.51    9340    1233    8733    47437   5.08
1841-1849       80      0.15234  0.14167  0.51    8106    1148    7539    38703   4.77
1841-1849       81      0.15821  0.14674  0.51    6958    1021    6454    31165   4.48
1841-1849       82      0.18508  0.16959  0.51    5937    1007    5440    24711   4.16
1841-1849       83      0.20007  0.18208  0.51    4930     898    4487    19271   3.91
1841-1849       84      0.22383  0.20151  0.51    4032     813    3630    14785   3.67
1841-1849       85      0.23754  0.21251  0.50    3220     684    2881    11154   3.46
1841-1849       86      0.26176  0.23164  0.50    2536     587    2244     8274   3.26
1841-1849       87      0.27905  0.24513  0.50    1948     478    1711     6030   3.10
1841-1849       88      0.29052  0.25384  0.50    1471     373    1285     4319   2.94
1841-1849       89      0.31823  0.27493  0.51    1097     302     948     3034   2.76
1841-1849       90      0.34092  0.29142  0.50     796     232     680     2086   2.62
1841-1849       91      0.34916  0.29727  0.50     564     168     480     1406   2.49
