France, Civilian Population, Life tables (cohort 1x5), Females	Last modified: 26 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1816-1819        0      0.18897  0.16729  0.31  100000   16729   88526  3977085  39.77
1816-1819        1      0.06014  0.05830  0.48   83271    4855   80723  3888559  46.70
1816-1819        2      0.04234  0.04146  0.50   78417    3251   76786  3807836  48.56
1816-1819        3      0.02786  0.02748  0.49   75165    2065   74121  3731050  49.64
1816-1819        4      0.01924  0.01905  0.50   73100    1393   72403  3656930  50.03
1816-1819        5      0.01606  0.01593  0.50   71707    1142   71139  3584527  49.99
1816-1819        6      0.01397  0.01387  0.50   70565     979   70079  3513388  49.79
1816-1819        7      0.01205  0.01198  0.50   69586     833   69170  3443308  49.48
1816-1819        8      0.01021  0.01016  0.50   68752     698   68405  3374138  49.08
1816-1819        9      0.00853  0.00850  0.50   68054     578   67765  3305733  48.58
1816-1819       10      0.00697  0.00694  0.50   67476     468   67243  3237968  47.99
1816-1819       11      0.00593  0.00591  0.51   67007     396   66811  3170726  47.32
1816-1819       12      0.00553  0.00551  0.51   66611     367   66431  3103914  46.60
1816-1819       13      0.00548  0.00547  0.51   66244     362   66066  3037484  45.85
1816-1819       14      0.00598  0.00596  0.51   65882     393   65691  2971417  45.10
1816-1819       15      0.00679  0.00677  0.51   65489     443   65271  2905727  44.37
1816-1819       16      0.00726  0.00723  0.50   65046     470   64812  2840456  43.67
1816-1819       17      0.00759  0.00757  0.51   64576     489   64335  2775643  42.98
1816-1819       18      0.00783  0.00780  0.50   64087     500   63839  2711308  42.31
1816-1819       19      0.00809  0.00805  0.51   63587     512   63335  2647470  41.64
1816-1819       20      0.00868  0.00864  0.51   63075     545   62807  2584135  40.97
1816-1819       21      0.00907  0.00903  0.50   62530     565   62250  2521328  40.32
1816-1819       22      0.00927  0.00923  0.51   61966     572   61683  2459078  39.68
1816-1819       23      0.00946  0.00942  0.51   61394     578   61108  2397395  39.05
1816-1819       24      0.00951  0.00947  0.50   60816     576   60530  2336287  38.42
1816-1819       25      0.00940  0.00936  0.50   60240     564   59959  2275757  37.78
1816-1819       26      0.00932  0.00928  0.50   59676     554   59401  2215798  37.13
1816-1819       27      0.00935  0.00930  0.50   59122     550   58850  2156396  36.47
1816-1819       28      0.00952  0.00947  0.51   58572     555   58298  2097547  35.81
1816-1819       29      0.01025  0.01020  0.51   58017     592   57729  2039249  35.15
1816-1819       30      0.01085  0.01079  0.50   57425     620   57117  1981520  34.51
1816-1819       31      0.01080  0.01074  0.50   56805     610   56501  1924403  33.88
1816-1819       32      0.01070  0.01064  0.50   56195     598   55898  1867902  33.24
1816-1819       33      0.01024  0.01019  0.50   55597     567   55312  1812004  32.59
1816-1819       34      0.01043  0.01038  0.51   55031     571   54752  1756693  31.92
1816-1819       35      0.01128  0.01122  0.51   54459     611   54158  1701941  31.25
1816-1819       36      0.01161  0.01154  0.50   53848     621   53541  1647783  30.60
1816-1819       37      0.01176  0.01169  0.51   53227     622   52919  1594242  29.95
1816-1819       38      0.01151  0.01144  0.50   52605     602   52303  1541323  29.30
1816-1819       39      0.01128  0.01122  0.50   52003     583   51714  1489020  28.63
1816-1819       40      0.01142  0.01136  0.50   51419     584   51129  1437306  27.95
1816-1819       41      0.01150  0.01143  0.50   50835     581   50547  1386177  27.27
1816-1819       42      0.01138  0.01131  0.50   50254     569   49971  1335630  26.58
1816-1819       43      0.01110  0.01104  0.50   49685     548   49412  1285660  25.88
1816-1819       44      0.01111  0.01105  0.51   49137     543   48869  1236248  25.16
1816-1819       45      0.01124  0.01118  0.51   48594     543   48326  1187379  24.43
1816-1819       46      0.01169  0.01162  0.51   48051     558   47776  1139053  23.71
1816-1819       47      0.01222  0.01214  0.51   47492     577   47207  1091278  22.98
1816-1819       48      0.01289  0.01281  0.51   46916     601   46619  1044070  22.25
1816-1819       49      0.01371  0.01362  0.50   46315     631   46003   997451  21.54
1816-1819       50      0.01485  0.01475  0.51   45684     674   45353   951449  20.83
1816-1819       51      0.01701  0.01687  0.52   45010     760   44642   906096  20.13
1816-1819       52      0.01864  0.01847  0.50   44251     817   43846   861454  19.47
1816-1819       53      0.01928  0.01910  0.51   43433     830   43023   817608  18.82
1816-1819       54      0.01945  0.01927  0.50   42604     821   42195   774585  18.18
1816-1819       55      0.01894  0.01876  0.50   41783     784   41390   732390  17.53
1816-1819       56      0.01927  0.01909  0.51   40999     783   40612   691001  16.85
1816-1819       57      0.02048  0.02027  0.50   40217     815   39812   650388  16.17
1816-1819       58      0.02219  0.02195  0.51   39401     865   38975   610576  15.50
1816-1819       59      0.02440  0.02411  0.51   38536     929   38077   571602  14.83
1816-1819       60      0.02708  0.02672  0.51   37607    1005   37112   533525  14.19
1816-1819       61      0.02972  0.02929  0.51   36603    1072   36074   496413  13.56
1816-1819       62      0.03217  0.03167  0.51   35530    1125   34975   460339  12.96
1816-1819       63      0.03451  0.03393  0.51   34405    1167   33828   425363  12.36
1816-1819       64      0.03673  0.03607  0.51   33238    1199   32647   391535  11.78
1816-1819       65      0.03910  0.03837  0.51   32039    1229   31435   358888  11.20
1816-1819       66      0.04209  0.04124  0.51   30810    1270   30186   327453  10.63
