New Zealand, Life tables (period 5x10), Females	Last modified: 06 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1948-1949        0      0.02569  0.02514  0.15  100000    2514   97854  7077965  70.78
1948-1949      1-4      0.00220  0.00876  1.47   97486     854  387778  6980111  71.60
1948-1949      5-9      0.00074  0.00370  2.08   96632     358  482113  6592332  68.22
1948-1949     10-14     0.00078  0.00387  2.66   96274     373  480498  6110220  63.47
1948-1949     15-19     0.00128  0.00637  2.73   95901     611  478117  5629722  58.70
1948-1949     20-24     0.00150  0.00746  2.66   95290     711  474786  5151605  54.06
1948-1949     25-29     0.00172  0.00855  2.46   94579     809  470840  4676818  49.45
1948-1949     30-34     0.00175  0.00872  2.63   93770     817  466918  4205978  44.85
1948-1949     35-39     0.00237  0.01179  2.55   92953    1096  462081  3739060  40.23
1948-1949     40-44     0.00292  0.01450  2.62   91857    1332  456112  3276979  35.67
1948-1949     45-49     0.00456  0.02253  2.58   90525    2040  447689  2820867  31.16
1948-1949     50-54     0.00691  0.03401  2.67   88486    3010  435418  2373179  26.82
1948-1949     55-59     0.01048  0.05117  2.66   85476    4374  417165  1937761  22.67
1948-1949     60-64     0.01581  0.07622  2.67   81102    6181  391104  1520595  18.75
1948-1949     65-69     0.02517  0.11870  2.61   74921    8893  353336  1129491  15.08
1948-1949     70-74     0.04152  0.18913  2.65   66027   12488  300751   776154  11.76
1948-1949     75-79     0.07428  0.31519  2.60   53540   16875  227183   475404   8.88
1948-1949     80-84     0.10966  0.43046  2.50   36665   15783  143917   248221   6.77
1948-1949     85-89     0.17040  0.58448  2.31   20882   12205   71627   104304   4.99
1948-1949     90-94     0.24186  0.71629  2.15    8677    6215   25698    32677   3.77
1948-1949     95-99     0.33715  0.83095  1.95    2462    2046    6067     6979   2.84
1948-1949    100-104    0.44752  0.90795  1.73     416     378     844      912   2.19
1948-1949    105-109    0.56367  0.95171  1.52      38      36      65       67   1.76
1948-1949    110+       0.65678  1.00000  1.52       2       2       3        3   1.52
1950-1959        0      0.02272  0.02228  0.13  100000    2228   98072  7262292  72.62
1950-1959      1-4      0.00153  0.00611  1.48   97772     597  389586  7164219  73.27
1950-1959      5-9      0.00050  0.00252  2.33   97175     245  485221  6774633  69.72
1950-1959     10-14     0.00047  0.00232  2.60   96930     225  484112  6289412  64.89
1950-1959     15-19     0.00062  0.00310  2.71   96705     300  482840  5805300  60.03
1950-1959     20-24     0.00085  0.00425  2.61   96405     409  481047  5322460  55.21
1950-1959     25-29     0.00097  0.00484  2.66   95996     465  478890  4841413  50.43
1950-1959     30-34     0.00114  0.00568  2.59   95531     542  476349  4362523  45.67
1950-1959     35-39     0.00177  0.00881  2.65   94988     837  472972  3886174  40.91
1950-1959     40-44     0.00249  0.01239  2.67   94152    1167  468043  3413201  36.25
1950-1959     45-49     0.00419  0.02076  2.66   92985    1931  460417  2945158  31.67
1950-1959     50-54     0.00626  0.03087  2.69   91055    2811  448785  2484741  27.29
1950-1959     55-59     0.00958  0.04687  2.70   88243    4136  431724  2035956  23.07
1950-1959     60-64     0.01505  0.07273  2.70   84108    6117  406462  1604232  19.07
1950-1959     65-69     0.02391  0.11315  2.63   77991    8825  369067  1197770  15.36
1950-1959     70-74     0.03975  0.18195  2.68   69166   12585  316634   828703  11.98
1950-1959     75-79     0.06905  0.29537  2.55   56582   16712  242041   512069   9.05
1950-1959     80-84     0.10672  0.42189  2.52   39869   16820  157612   270028   6.77
1950-1959     85-89     0.17418  0.59371  2.32   23049   13684   78564   112416   4.88
1950-1959     90-94     0.25065  0.72953  2.14    9365    6832   27256    33852   3.61
1950-1959     95-99     0.36968  0.86023  1.89    2533    2179    5894     6595   2.60
1950-1959    100-104    0.49743  0.93133  1.64     354     330     663      701   1.98
1950-1959    105-109    0.62638  0.96657  1.42      24      23      38       39   1.59
1950-1959    110+       0.72550  1.00000  1.38       1       1       1        1   1.38
1960-1969        0      0.01695  0.01670  0.11  100000    1670   98521  7426452  74.26
1960-1969      1-4      0.00100  0.00399  1.55   98330     393  392357  7327931  74.52
1960-1969      5-9      0.00035  0.00176  2.39   97938     172  489239  6935574  70.82
1960-1969     10-14     0.00030  0.00151  2.77   97765     148  488497  6446335  65.94
1960-1969     15-19     0.00049  0.00247  2.60   97617     241  487509  5957838  61.03
1960-1969     20-24     0.00057  0.00283  2.47   97377     275  486186  5470329  56.18
1960-1969     25-29     0.00068  0.00341  2.57   97101     331  484703  4984143  51.33
1960-1969     30-34     0.00099  0.00495  2.76   96770     479  482781  4499441  46.50
1960-1969     35-39     0.00150  0.00746  2.78   96292     718  479864  4016660  41.71
1960-1969     40-44     0.00230  0.01146  2.69   95574    1096  475339  3536795  37.01
1960-1969     45-49     0.00379  0.01879  2.69   94478    1775  468286  3061457  32.40
1960-1969     50-54     0.00568  0.02803  2.71   92703    2599  457557  2593171  27.97
1960-1969     55-59     0.00878  0.04302  2.66   90104    3876  441435  2135614  23.70
1960-1969     60-64     0.01359  0.06586  2.66   86228    5679  417854  1694179  19.65
1960-1969     65-69     0.02208  0.10488  2.63   80549    8448  382685  1276325  15.85
1960-1969     70-74     0.03642  0.16792  2.68   72101   12107  332416   893641  12.39
1960-1969     75-79     0.06380  0.27646  2.59   59994   16586  259956   561225   9.35
1960-1969     80-84     0.10154  0.40614  2.54   43408   17630  173628   301268   6.94
1960-1969     85-89     0.16934  0.58334  2.33   25778   15037   88803   127640   4.95
1960-1969     90-94     0.25020  0.72943  2.14   10741    7835   31313    38838   3.62
1960-1969     95-99     0.37166  0.86233  1.89    2906    2506    6743     7525   2.59
1960-1969    100-104    0.50459  0.93440  1.63     400     374     741      782   1.95
1960-1969    105-109    0.63787  0.96884  1.41      26      25      40       41   1.56
1960-1969    110+       0.73920  1.00000  1.35       1       1       1        1   1.35
1970-1979        0      0.01297  0.01283  0.12  100000    1283   98874  7542551  75.43
1970-1979      1-4      0.00079  0.00315  1.56   98717     311  394112  7443677  75.40
1970-1979      5-9      0.00032  0.00160  2.33   98407     158  491613  7049565  71.64
1970-1979     10-14     0.00028  0.00141  2.61   98249     139  490913  6557952  66.75
1970-1979     15-19     0.00061  0.00305  2.64   98110     299  489847  6067039  61.84
1970-1979     20-24     0.00059  0.00293  2.42   97811     286  488317  5577192  57.02
1970-1979     25-29     0.00066  0.00328  2.64   97525     320  486868  5088875  52.18
1970-1979     30-34     0.00086  0.00431  2.64   97205     419  485036  4602007  47.34
1970-1979     35-39     0.00139  0.00692  2.74   96786     670  482416  4116971  42.54
1970-1979     40-44     0.00232  0.01156  2.68   96117    1111  478004  3634555  37.81
1970-1979     45-49     0.00368  0.01826  2.65   95006    1735  470955  3156551  33.22
1970-1979     50-54     0.00541  0.02673  2.66   93271    2493  460522  2685596  28.79
1970-1979     55-59     0.00810  0.03976  2.67   90777    3609  445488  2225074  24.51
1970-1979     60-64     0.01292  0.06273  2.67   87168    5468  423109  1779586  20.42
1970-1979     65-69     0.01993  0.09519  2.64   81701    7777  390126  1356477  16.60
1970-1979     70-74     0.03376  0.15659  2.69   73924   11576  342844   966351  13.07
1970-1979     75-79     0.05609  0.24715  2.60   62348   15409  274738   623507  10.00
1970-1979     80-84     0.09133  0.37326  2.55   46939   17520  191833   348769   7.43
1970-1979     85-89     0.15185  0.54367  2.39   29419   15994  105330   156937   5.33
1970-1979     90-94     0.23189  0.70207  2.19   13424    9425   40644    51607   3.84
1970-1979     95-99     0.34841  0.84355  1.94    4000    3374    9683    10963   2.74
1970-1979    100-104    0.48080  0.92520  1.68     626     579    1204     1280   2.04
1970-1979    105-109    0.61684  0.96503  1.44      47      45      73       75   1.61
1970-1979    110+       0.72192  1.00000  1.39       2       2       2        2   1.39
1980-1989        0      0.01012  0.01003  0.13  100000    1003   99125  7711900  77.12
1980-1989      1-4      0.00052  0.00207  1.62   98997     205  395498  7612775  76.90
1980-1989      5-9      0.00025  0.00123  2.24   98792     121  493622  7217277  73.06
1980-1989     10-14     0.00024  0.00119  2.77   98670     117  493090  6723654  68.14
1980-1989     15-19     0.00057  0.00283  2.55   98553     279  492085  6230564  63.22
1980-1989     20-24     0.00065  0.00327  2.44   98275     321  490552  5738480  58.39
1980-1989     25-29     0.00059  0.00296  2.53   97954     290  489053  5247928  53.58
1980-1989     30-34     0.00076  0.00379  2.64   97664     370  487444  4758875  48.73
1980-1989     35-39     0.00106  0.00529  2.61   97293     515  485234  4271431  43.90
1980-1989     40-44     0.00172  0.00858  2.75   96778     830  482025  3786197  39.12
1980-1989     45-49     0.00299  0.01486  2.69   95948    1426  476450  3304172  34.44
1980-1989     50-54     0.00472  0.02336  2.68   94522    2208  467492  2827722  29.92
1980-1989     55-59     0.00723  0.03555  2.66   92314    3281  453896  2360230  25.57
1980-1989     60-64     0.01127  0.05489  2.64   89033    4887  433638  1906334  21.41
1980-1989     65-69     0.01809  0.08673  2.64   84146    7298  403526  1472696  17.50
1980-1989     70-74     0.02937  0.13732  2.64   76848   10553  359355  1069170  13.91
1980-1989     75-79     0.04817  0.21578  2.59   66295   14305  296951   709814  10.71
1980-1989     80-84     0.08271  0.34382  2.55   51990   17875  216114   412864   7.94
1980-1989     85-89     0.13462  0.49979  2.42   34114   17050  126655   196750   5.77
1980-1989     90-94     0.21471  0.67377  2.24   17065   11498   53550    70095   4.11
1980-1989     95-99     0.31771  0.81427  2.01    5567    4533   14267    16545   2.97
1980-1989    100-104    0.44400  0.90790  1.75    1034     939    2114     2278   2.20
1980-1989    105-109    0.57854  0.95656  1.50      95      91     157      163   1.72
1980-1989    110+       0.68548  1.00000  1.46       4       4       6        6   1.46
1990-1999        0      0.00613  0.00610  0.14  100000     610   99473  7955704  79.56
1990-1999      1-4      0.00036  0.00144  1.60   99390     143  397216  7856231  79.04
1990-1999      5-9      0.00016  0.00081  2.36   99247      80  496021  7459015  75.16
1990-1999     10-14     0.00019  0.00097  2.87   99166      96  495627  6962994  70.22
1990-1999     15-19     0.00053  0.00265  2.70   99070     263  494747  6467367  65.28
1990-1999     20-24     0.00051  0.00252  2.58   98808     249  493434  5972620  60.45
1990-1999     25-29     0.00051  0.00255  2.51   98558     251  492165  5479186  55.59
1990-1999     30-34     0.00066  0.00330  2.64   98307     325  490768  4987021  50.73
1990-1999     35-39     0.00085  0.00425  2.67   97982     416  488938  4496252  45.89
1990-1999     40-44     0.00140  0.00698  2.65   97566     681  486229  4007314  41.07
1990-1999     45-49     0.00224  0.01113  2.69   96885    1078  481935  3521085  36.34
1990-1999     50-54     0.00379  0.01878  2.70   95806    1799  474892  3039150  31.72
1990-1999     55-59     0.00591  0.02916  2.70   94007    2741  463731  2564258  27.28
1990-1999     60-64     0.00928  0.04541  2.66   91266    4144  446620  2100527  23.02
1990-1999     65-69     0.01442  0.06970  2.63   87122    6072  421214  1653907  18.98
1990-1999     70-74     0.02320  0.11001  2.65   81050    8917  384292  1232692  15.21
1990-1999     75-79     0.03809  0.17464  2.63   72133   12597  330755   848400  11.76
1990-1999     80-84     0.06874  0.29484  2.59   59536   17554  255384   517645   8.69
1990-1999     85-89     0.11733  0.45264  2.48   41982   19003  161960   262260   6.25
1990-1999     90-94     0.19660  0.63891  2.26   22979   14682   74679   100300   4.36
1990-1999     95-99     0.30289  0.79973  2.05    8298    6636   21909    25621   3.09
1990-1999    100-104    0.43692  0.90517  1.76    1662    1504    3443     3712   2.23
1990-1999    105-109    0.58149  0.95781  1.50     158     151     260      269   1.71
1990-1999    110+       0.69614  1.00000  1.44       7       7      10       10   1.44
2000-2009        0      0.00469  0.00467  0.14  100000     467   99598  8171445  81.71
2000-2009      1-4      0.00030  0.00120  1.50   99533     120  397834  8071847  81.10
2000-2009      5-9      0.00013  0.00066  2.41   99414      65  496899  7674013  77.19
2000-2009     10-14     0.00014  0.00070  2.76   99348      69  496586  7177114  72.24
2000-2009     15-19     0.00041  0.00204  2.61   99279     202  495911  6680528  67.29
2000-2009     20-24     0.00037  0.00184  2.46   99077     182  494920  6184617  62.42
2000-2009     25-29     0.00041  0.00204  2.54   98894     202  493976  5689697  57.53
2000-2009     30-34     0.00053  0.00264  2.60   98692     260  492838  5195721  52.65
2000-2009     35-39     0.00076  0.00379  2.62   98432     374  491270  4702884  47.78
2000-2009     40-44     0.00115  0.00573  2.70   98059     562  489001  4211613  42.95
2000-2009     45-49     0.00178  0.00889  2.67   97497     866  485469  3722612  38.18
2000-2009     50-54     0.00282  0.01402  2.68   96630    1355  480006  3237143  33.50
2000-2009     55-59     0.00442  0.02188  2.68   95276    2085  471548  2757137  28.94
2000-2009     60-64     0.00693  0.03412  2.67   93191    3180  458534  2285589  24.53
2000-2009     65-69     0.01107  0.05395  2.69   90011    4856  438847  1827056  20.30
2000-2009     70-74     0.01826  0.08758  2.69   85155    7458  408535  1388208  16.30
2000-2009     75-79     0.03042  0.14204  2.67   77697   11036  362795   979674  12.61
2000-2009     80-84     0.05707  0.25155  2.65   66661   16769  293822   616879   9.25
2000-2009     85-89     0.10751  0.42455  2.52   49892   21182  197017   323057   6.48
2000-2009     90-94     0.19232  0.63522  2.33   28710   18237   94827   126040   4.39
2000-2009     95-99     0.31410  0.81424  2.04   10473    8528   27149    31213   2.98
2000-2009    100-104    0.46912  0.92253  1.71    1945    1795    3826     4063   2.09
2000-2009    105-109    0.63180  0.96892  1.42     151     146     231      237   1.57
2000-2009    110+       0.75459  1.00000  1.33       5       5       6        6   1.33
2010-2019        0      0.00406  0.00404  0.14  100000     404   99652  8328005  83.28
2010-2019      1-4      0.00019  0.00077  1.42   99596      76  398185  8228353  82.62
2010-2019      5-9      0.00008  0.00040  2.55   99519      40  497497  7830168  78.68
2010-2019     10-14     0.00011  0.00053  3.13   99479      52  497296  7332671  73.71
2010-2019     15-19     0.00029  0.00146  2.62   99426     145  496787  6835375  68.75
2010-2019     20-24     0.00034  0.00168  2.43   99281     167  495978  6338588  63.84
2010-2019     25-29     0.00035  0.00174  2.49   99114     173  495138  5842610  58.95
2010-2019     30-34     0.00048  0.00240  2.65   98942     238  494149  5347472  54.05
2010-2019     35-39     0.00063  0.00314  2.70   98704     310  492805  4853323  49.17
2010-2019     40-44     0.00100  0.00500  2.69   98394     492  490830  4360517  44.32
2010-2019     45-49     0.00161  0.00802  2.67   97902     785  487683  3869687  39.53
2010-2019     50-54     0.00250  0.01243  2.64   97117    1207  482737  3382004  34.82
2010-2019     55-59     0.00360  0.01786  2.64   95910    1713  475503  2899267  30.23
2010-2019     60-64     0.00554  0.02737  2.70   94197    2578  465042  2423764  25.73
2010-2019     65-69     0.00881  0.04317  2.69   91619    3955  448954  1958722  21.38
2010-2019     70-74     0.01454  0.07035  2.69   87663    6167  424091  1509768  17.22
2010-2019     75-79     0.02585  0.12196  2.69   81496    9939  384531  1085677  13.32
2010-2019     80-84     0.04912  0.22029  2.66   71557   15763  320882   701146   9.80
2010-2019     85-89     0.09631  0.39041  2.58   55794   21782  226167   380264   6.82
2010-2019     90-94     0.18245  0.61576  2.36   34012   20943  114785   154097   4.53
